"Basename","Chip_ID","Chip_Position","Plate","Batch","Individual_ID","Sample_ID","N_Nuclei","Group","Age","Sex","Cell_Type","Pathology"
"205333490061_R02C02","2.05333e+11","R02C02","1","n24","55","55_WT_1.6_NEUN","44773","WT","1.6","M","NEUNpos","3.16"
"205333490061_R03C01","2.05333e+11","R03C01","1","n24","55","55_WT_1.6_DN","7880","WT","1.6","M","NEUNneg","3.16"
"205333490061_R04C01","2.05333e+11","R04C01","1","n24","29","29_WT_3_NEUN","48145","WT","3","M","NEUNpos","4.29"
"205333490061_R04C02","2.05333e+11","R04C02","1","n24","29","29_WT_3_DN","8895","WT","3","M","NEUNneg","4.29"
"205333490079_R01C01","2.05333e+11","R01C01","1","n24","25","25_WT_5_NEUN","39400","WT","5","M","NEUNpos","4.79"
"205333490079_R01C02","2.05333e+11","R01C02","1","n24","25","25_WT_5_DN","14445","WT","5","M","NEUNneg","4.79"
"205333490079_R04C01","2.05333e+11","R04C01","1","n24","20","20_WT_7_NEUN","33086","WT","7","F","NEUNpos","2.96"
"205333490079_R04C02","2.05333e+11","R04C02","1","n24","20","20_WT_7_DN","6604","WT","7","F","NEUNneg","2.96"
"205333480014_R01C01","2.05333e+11","R01C01","1","n180","2","2_WT_12_NeuN","NA","WT","12","M","NEUNpos","2.93"
"205333480014_R02C01","2.05333e+11","R02C01","1","n180","2","2_WT_12_DN","NA","WT","12","M","NEUNneg","2.93"
"205333480014_R05C01","2.05333e+11","R05C01","1","n180","5","5_WT_12_NeuN","NA","WT","12","M","NEUNpos","3.16"
"205333480014_R02C02","2.05333e+11","R02C02","1","n180","3","3_WT_12_DN","NA","WT","12","F","NEUNneg","3.64"
"205333480014_R06C02","2.05333e+11","R06C02","1","n180","5","5_WT_12_DN","NA","WT","12","M","NEUNneg","3.16"
"205333480017_R03C01","2.05333e+11","R03C01","1","n180","3","3_WT_12_NeuN","NA","WT","12","F","NEUNpos","3.64"
"205333480017_R06C01","2.05333e+11","R06C01","1","n180","11","11_WT_10_NeuN","NA","WT","10","F","NEUNpos","3.46"
"205333480017_R01C02","2.05333e+11","R01C02","1","n180","11","11_WT_10_DN","NA","WT","10","F","NEUNneg","3.46"
"205333480020_R06C01","2.05333e+11","R06C01","1","n180","14","14_WT_7_NeuN","NA","WT","7","M","NEUNpos","3.5"
"205333480020_R01C02","2.05333e+11","R01C02","1","n180","14","14_WT_7_DN","NA","WT","7","M","NEUNneg","3.5"
"205333480030_R02C02","2.05333e+11","R02C02","1","n180","18","18_WT_7_DN","NA","WT","7","M","NEUNneg","2.57"
"205333480030_R03C02","2.05333e+11","R03C02","1","n180","18","18_WT_7_NeuN","NA","WT","7","M","NEUNpos","2.57"
"205333480030_R05C02","2.05333e+11","R05C02","1","n180","22","22_WT_5_NeuN","NA","WT","5","M","NEUNpos","5.83"
"205333480030_R06C02","2.05333e+11","R06C02","1","n180","22","22_WT_5_DN","NA","WT","5","M","NEUNneg","5.83"
"205333480038_R01C01","2.05333e+11","R01C01","1","n180","74","74_WT_5_DN","NA","WT","5","M","NEUNneg","3.71"
"205333480038_R03C01","2.05333e+11","R03C01","1","n180","23","23_WT_5_DN","NA","WT","5","M","NEUNneg","5.28"
